Class,Theta_0,Theta_1,Theta_2,Theta_3,Theta_4,Theta_5,Theta_6,Theta_7,Theta_8,Theta_9,Theta_10
0.0,-1.802108905396449,-0.24560491536276627,-1.1076580315707025,-0.3734845042595278,-0.9941556455376709,-0.1158555052127355,-1.3786718484826104,-0.6500294636132237,-1.3377084087630042,-0.10971730510394109,-0.38556950377387195
1.0,-1.3147553130227896,-0.2551465988468434,-0.4073244609997724,-0.6736238330439552,-0.6861167697836309,-0.19256607020537092,-1.261506850554214,-0.989473518072041,-2.015668268207249,0.08025131737663782,-0.6492030300785586
2.0,-2.071091510160253,-0.9388494338305603,-0.6277745221630879,-0.41018692235132526,-0.5839158587408779,-0.0162921826357401,-1.2252474007715755,-0.8028409537326708,-1.199985226764118,-0.26093881064368113,-0.31191245974433773
3.0,-1.5322777276441535,-0.4832800606303459,-0.34131957141085545,-0.6256366769803651,-0.6544213777103813,-0.5232840321443755,-0.7593673999680204,-0.33996130460059426,-2.0394380439003865,-0.2679300430558969,-0.9293913989958746
